"","Locality","Country","State/Province","County","Latitude","Longitude"
"4393","Palm Canyon Wash","United States","California","Imperial",32.76856,-116.10045
"4411","Nine Mile Run, Duck Hollow","United States","Pennsylvania","Allegheny",40.41722,79.91583
"4422","1.7 km SE Cooksburg, Clarion River, Cook Forest St. Park","United States","Pennsylvania","Forest",41.32527,79.19055
"4449","Kuroki","United States","North Dakota","Bottineau",48.93111,-101.14611
"4474","Chinati Mountains 25 mi NE of Presidio","United States","Texas","Presidio",29.74328,-104.54923
"4475","Pymatuning State Park, Blackjack Swamp Natural Area, 4.8 km NW Linesville","United States","Pennsylvania","Crawford",41.68306,80.5025
"4600","5 mi NW of Presidio","United States","Texas","Presidio",29.59795,-104.427
"4676","Coronado National Forest Dragoon Mtns, Jordan Cyn","United States","Arizona","Cochise",31.98944,110.01861
"4697","near Boulevard","United States","California","San Diego",32.66361,-116.27278
"4784","Red Rock Canyon State Park","United States","California","Kern",35.38333,118
"4814","2.9 km SW Antes, Moshannon State Forest","United States","Pennsylvania","Centre",40.9,78.08583
"4885","Natchez Trace mi 252","United States","Mississippi","Lee",34.14972,88.81861
"4915","Big Bend Ranch SNA","United States","Texas","Presidio",29.50556,103.87083
"4943","Granite Mtn. Reserve, Granite Cove, ca.","United States","California","San Bernardino",34.8,115.65
"4957","6.5 km E Bainville, on US 2","United States","Montana","Roosevelt",48.14278,104.12556
"4958","4.3 km SSW Marysville, State Game Lands 176, Scotia Barrens","United States","Pennsylvania","Centre",40.76222,77.96972
"4986","3.9 km SW Antes, Moshannon State Forest","United States","Pennsylvania","Centre",40.88805,78.08777
"5110","Calistoga, Stonegate vineyard","United States","California","Napa",38.566,122.5566
"5112","5.2 km SE Long Pond, Bowers Gap Barrens","United States","Pennsylvania","Monroe",41.01833,75.42222
"5168","St. Rd. 1401 @ Eno River","United States","North Carolina","Durham",36.059,78.978
"5191","Pymatuning State Park, Blackjack Swamp Natural Area, 5.5 km NW Linesville","United States","Pennsylvania","Crawford",41.68722,80.50917
"5208","17.8 km SE Remer near Ahsebun Lake, CR 30","United States","Minnesota","Cass",44.55,93.46
"5259","1.5 mi E Falcon Dam","United States","Texas","Starr",26.55861,-99.14008
"5260","14 mi N of Dos Palos","United States","California","Merced",37.18908,37.18908
"5282","Alpine","United States","California","San Diego",32.5006,-116.4559
"5297","Coronado Nat'l Forest Texas Cyn., Txas Cyn. Rd.","United States","Arizona","Cochise",32.03889,110.09639
"5328","Sec. 32 T.7S., R.1E. Site 2, 5.6 mi. of S. Sage on R3,","United States","California","Riverside",33.42183,116.9
"5408","11.2 km ESE Grand Coulee","United States","Washington","Lincoln",47.90722,118.87194
"5412","Organ Pipe Prk","United States","Arizona","Pima",32.04167,-112.87472
"5460","Boulevard-Manzanita","United States","California","San Diego",32.3949,-116.1625
"5484","Know Township, 14 km NW Cambridge","United States","Ohio","Guernsey",40.08,81.42
"5502","Gray Ranch, ~0.5mi. S. headquarters","United States","New Mexico","Hidalgo",31.51667,108.86667
"5539","4mi NW Jacumba","United States","California","San Diego",32.65854,-116.23762
"5574","4 mi W of Calexico at New River, site 1","United States","California","Imperial",32.67887,-115.56702
"5622","11 mi SW of Lucedale Pascagoula River","United States","Mississippi","George",30.8,88.7
"5626","Baltimore-Washington Int. Airport","United States","Maryland","Anne Arundel",39.1843,76.6538
"5697","Edwardsville","United States","New York","St. Lawrence",44.52228,-75.59301
"5702","E. slope Animas Mountains Indian Creek wash N. of Culberson Camp","United States","New Mexico","Hidalgo",31.42183,108.67533
"5739","Hull Road, 2.6 road mi W of County Road 305, Mendocino National Forest","United States","California","Glenn",39.71172,122.58197
"5762","Mimbres Mountains 2.8 km SW Kingston","United States","New Mexico","Sierra",32.90166,107.72861
"5780","12 km E Swanton","United States","Vermont","Franklin",47.91667,-73.06667
"5801","Rocheport","United States","Missouri","Boone",38.97944,92.56222
